用户编号,缴费日期,缴费金额（元）
1000000001,2018/3/1,101
1000000001,2018/5/3,80
1000000001,2018/7/2,150
1000000001,2018/8/2,200
1000000001,2018/9/5,220
1000000001,2018/11/8,80
1000000001,2019/1/5,75
1000000001,2019/3/5,81
1000000002,2018/3/3,50
1000000002,2018/5/5,60
1000000002,2018/7/12,60
1000000002,2018/9/5,70
1000000002,2018/11/8,80
1000000002,2019/1/6,90
1000000002,2019/3/6,80
1000000003,2018/3/3,120
1000000003,2018/5/3,200
1000000003,2018/7/2,180
1000000003,2018/9/5,200
1000000003,2018/11/8,140
1000000003,2019/1/7,160
1000000003,2019/3/7,180
1000000004,2018/3/6,80
1000000004,2018/5/3,70
1000000004,2018/7/2,88
1000000004,2018/9/5,86
1000000004,2018/11/8,84
1000000004,2019/12/4,60
1000000004,2019/1/7,78
1000000004,2019/3/7,75
1000000005,2018/3/5,200
1000000005,2018/5/3,220
1000000005,2018/7/2,240
1000000005,2018/9/5,280
1000000005,2018/11/8,260
1000000005,2019/1/7,140
1000000005,2019/3/7,160
1000000006,2018/3/5,140
1000000006,2018/5/3,180
1000000006,2018/7/2,120
1000000006,2018/9/5,180
1000000006,2018/11/8,100
1000000006,2019/1/7,170
1000000006,2019/3/7,120
1000000007,2018/3/5,175
1000000007,2018/5/3,132
1000000007,2018/7/2,185
1000000007,2018/9/5,162
1000000007,2018/11/8,132
1000000007,2019/1/7,142
1000000007,2019/3/7,178
1000000008,2018/3/5,153
1000000008,2018/5/3,185
1000000008,2018/7/2,145
1000000008,2018/9/6,148
1000000008,2018/11/8,187
1000000008,2019/1/7,139
1000000008,2019/3/7,117
1000000009,2018/3/5,97
1000000009,2018/5/3,171
1000000009,2018/7/2,168
1000000009,2018/9/6,148
1000000009,2018/11/8,159
1000000009,2019/1/8,86
1000000009,2019/3/7,141
1000000010,2018/3/5,77
1000000010,2018/5/3,126
1000000010,2018/7/2,65
1000000010,2018/8/2,75
1000000010,2018/9/6,101
1000000010,2018/11/9,67
1000000010,2019/1/8,117
1000000010,2019/3/8,145
1000000011,2018/3/7,76
1000000011,2018/5/3,87
1000000011,2018/7/2,97
1000000011,2018/9/6,90
1000000011,2018/11/9,122
1000000011,2019/1/8,159
1000000011,2019/3/8,117
1000000012,2018/3/7,150
1000000012,2018/5/3,114
1000000012,2018/7/2,154
1000000012,2018/9/6,147
1000000012,2018/11/9,149
1000000012,2019/1/8,100
1000000012,2019/3/8,97
1000000013,2018/3/7,157
1000000013,2018/5/3,130
1000000013,2018/7/2,84
1000000013,2018/9/7,67
1000000013,2018/11/9,88
1000000013,2019/1/8,157
1000000013,2019/3/8,152
1000000014,2018/3/7,87
1000000014,2018/5/3,72
1000000014,2018/7/2,88
1000000014,2018/9/7,141
1000000014,2018/11/9,133
1000000014,2019/1/8,139
1000000014,2019/3/8,89
1000000015,2018/3/7,81
1000000015,2018/5/3,90
1000000015,2018/7/2,158
1000000015,2018/9/7,142
1000000015,2018/11/9,75
1000000015,2019/1/8,84
1000000015,2019/3/8,70
1000000016,2018/3/7,127
1000000016,2018/5/3,73
1000000016,2018/7/2,62
1000000016,2018/9/7,101
1000000016,2018/11/9,98
1000000016,2019/1/11,110
1000000016,2019/2/4,100
1000000016,2019/3/8,113
1000000017,2018/3/7,104
1000000017,2018/5/3,126
1000000017,2018/7/2,82
1000000017,2018/9/7,103
1000000017,2018/11/9,126
1000000017,2019/1/11,154
1000000017,2019/3/8,85
1000000018,2018/3/8,100
1000000018,2018/5/3,82
1000000018,2018/7/2,58
1000000018,2018/9/7,101
1000000018,2018/11/9,130
1000000018,2019/1/11,103
1000000018,2019/3/8,67
1000000019,2018/3/7,136
1000000019,2018/5/3,97
1000000019,2018/7/2,126
1000000019,2018/9/7,137
1000000019,2018/11/12,118
1000000019,2019/3/8,115
1000000020,2018/3/8,149
1000000020,2018/5/3,140
1000000020,2018/7/2,96
1000000020,2018/9/8,89
1000000020,2018/11/12,137
1000000020,2019/1/11,148
1000000020,2019/3/10,140
1000000021,2018/3/8,97
1000000021,2018/5/3,87
1000000021,2018/7/2,138
1000000021,2018/9/8,108
1000000021,2018/11/12,134
1000000021,2019/1/11,134
1000000021,2019/3/10,59
1000000022,2018/3/8,107
1000000022,2018/5/3,52
1000000022,2018/7/2,120
1000000022,2018/9/8,60
1000000022,2019/1/11,54
1000000022,2019/3/10,141
1000000023,2018/3/8,58
1000000023,2018/5/3,101
1000000023,2018/7/2,115
1000000023,2018/9/8,104
1000000023,2019/3/10,115
1000000024,2018/3/8,148
1000000024,2018/5/3,139
1000000024,2018/7/2,97
1000000024,2018/9/8,110
1000000024,2018/11/12,143
1000000024,2019/1/11,145
1000000024,2019/3/10,122
1000000025,2018/3/8,146
1000000025,2018/5/3,129
1000000025,2018/7/2,87
1000000025,2018/9/8,121
1000000025,2018/11/12,67
1000000025,2019/1/11,51
1000000025,2019/3/10,50
1000000026,2018/3/8,82
1000000026,2018/5/3,137
1000000026,2018/7/2,147
1000000026,2018/9/8,116
1000000026,2018/11/12,111
1000000026,2019/1/12,98
1000000026,2019/3/10,86
1000000027,2018/3/8,90
1000000027,2018/5/3,78
1000000027,2018/7/2,92
1000000027,2018/9/8,86
1000000027,2018/11/12,101
1000000027,2019/1/12,60
1000000027,2019/3/10,124
1000000028,2018/3/9,108
1000000028,2018/5/3,128
1000000028,2018/7/2,99
1000000028,2018/9/11,74
1000000028,2018/11/12,68
1000000028,2019/3/10,94
1000000029,2018/3/8,118
1000000029,2018/5/3,142
1000000029,2018/7/2,101
1000000029,2018/9/11,77
1000000029,2018/11/12,138
1000000029,2019/1/12,54
1000000029,2019/3/10,61
1000000030,2018/3/8,95
1000000030,2018/5/3,71
1000000030,2018/7/2,79
1000000030,2018/9/11,139
1000000030,2018/11/14,54
1000000030,2019/1/12,119
1000000030,2019/3/10,114
1000000031,2018/3/8,130
1000000031,2018/5/3,126
1000000031,2018/7/2,109
1000000031,2018/9/11,96
1000000031,2018/11/14,65
1000000031,2019/1/12,65
1000000031,2019/3/10,64
1000000032,2018/5/3,122
1000000032,2018/7/2,66
1000000032,2018/9/11,90
1000000032,2018/11/14,69
1000000032,2019/1/12,80
1000000032,2019/3/10,92
1000000033,2018/3/8,149
1000000033,2018/5/3,105
1000000033,2018/7/2,55
1000000033,2018/11/14,77
1000000033,2019/1/12,89
1000000033,2019/3/10,70
1000000034,2018/3/11,98
1000000034,2018/5/3,120
1000000034,2018/7/2,83
1000000034,2018/9/11,133
1000000034,2018/11/14,122
1000000034,2019/1/4,79
1000000034,2019/3/10,86
1000000035,2018/3/11,83
1000000035,2018/5/3,139
1000000035,2018/7/2,108
1000000035,2018/9/11,104
1000000035,2018/11/14,135
1000000035,2019/1/4,83
1000000035,2019/3/12,117
1000000036,2018/5/3,71
1000000036,2018/7/2,117
1000000036,2018/9/11,100
1000000036,2018/11/14,143
1000000036,2019/1/4,87
1000000036,2019/3/12,127
1000000037,2018/3/11,69
1000000037,2018/5/3,130
1000000037,2018/7/2,73
1000000037,2018/9/20,94
1000000037,2018/11/14,69
1000000037,2019/1/4,106
1000000037,2019/3/12,86
1000000038,2018/3/11,92
1000000038,2018/5/3,71
1000000038,2018/7/2,77
1000000038,2018/9/20,145
1000000038,2018/11/14,86
1000000038,2019/3/12,63
1000000039,2018/3/2,118
1000000039,2018/5/3,127
1000000039,2018/7/2,88
1000000039,2018/9/20,142
1000000039,2018/11/14,96
1000000039,2019/1/4,81
1000000039,2019/3/12,98
1000000040,2018/3/11,111
1000000040,2018/5/3,98
1000000040,2018/7/2,129
1000000040,2018/9/20,71
1000000040,2018/11/14,52
1000000040,2019/1/4,101
1000000040,2019/3/12,94
1000000041,2018/3/11,122
1000000041,2018/5/3,141
1000000041,2018/7/2,123
1000000041,2018/9/20,93
1000000041,2018/11/14,145
1000000041,2019/1/4,59
1000000042,2018/3/11,82
1000000042,2018/5/3,123
1000000042,2018/7/2,69
1000000042,2018/9/20,57
1000000042,2018/11/7,114
1000000042,2019/1/4,62
1000000042,2019/3/12,105
1000000043,2018/3/11,81
1000000043,2018/5/3,50
1000000043,2018/7/2,90
1000000043,2018/9/20,142
1000000043,2018/11/7,107
1000000043,2019/1/4,66
1000000043,2019/3/12,104
1000000044,2018/3/11,120
1000000044,2018/7/2,117
1000000044,2018/9/5,79
1000000044,2018/11/7,82
1000000044,2019/1/4,59
1000000044,2019/3/12,144
1000000045,2018/3/11,82
1000000045,2018/5/3,141
1000000045,2018/7/2,108
1000000045,2018/9/5,146
1000000045,2018/11/7,123
1000000045,2019/1/4,59
1000000045,2019/3/12,52
1000000046,2018/3/11,129
1000000046,2018/5/3,104
1000000046,2018/7/2,112
1000000046,2018/11/7,141
1000000046,2019/1/4,119
1000000046,2019/3/12,106
1000000047,2018/3/1,113
1000000047,2018/5/3,126
1000000047,2018/7/2,71
1000000047,2018/9/5,134
1000000047,2018/11/7,65
1000000047,2019/1/4,83
1000000047,2019/3/4,62
1000000048,2018/3/1,139
1000000048,2018/5/3,115
1000000048,2018/7/2,139
1000000048,2018/11/7,89
1000000048,2019/1/4,77
1000000048,2019/3/4,119
1000000049,2018/3/1,99
1000000049,2018/5/3,53
1000000049,2018/7/2,74
1000000049,2018/9/5,145
1000000049,2018/11/7,110
1000000049,2019/1/4,53
1000000049,2019/3/4,55
1000000050,2018/3/1,59
1000000050,2018/5/3,115
1000000050,2018/7/2,104
1000000050,2018/9/5,83
1000000050,2018/11/7,81
1000000050,2019/1/4,57
1000000050,2019/3/4,69
1000000051,2018/3/1,129
1000000051,2018/5/3,52
1000000051,2018/7/2,138
1000000051,2018/9/5,51
1000000051,2018/11/7,112
1000000051,2019/1/4,115
1000000052,2018/3/1,101
1000000052,2018/5/3,114
1000000052,2018/7/2,77
1000000052,2018/9/5,134
1000000052,2018/11/7,98
1000000052,2019/1/4,93
1000000052,2019/3/4,149
1000000053,2018/3/1,98
1000000053,2018/5/3,68
1000000053,2018/7/2,139
1000000053,2018/9/5,146
1000000053,2018/11/7,91
1000000053,2019/1/4,60
1000000053,2019/3/4,92
1000000054,2018/3/1,106
1000000054,2018/5/3,53
1000000054,2018/9/5,66
1000000054,2018/11/7,90
1000000054,2019/1/4,53
1000000054,2019/3/4,91
1000000055,2018/3/1,141
1000000055,2018/5/3,94
1000000055,2018/7/2,142
1000000055,2018/9/5,101
1000000055,2018/11/7,97
1000000055,2019/1/4,78
1000000055,2019/3/5,135
1000000056,2018/3/1,119
1000000056,2018/5/3,143
1000000056,2018/7/2,89
1000000056,2018/9/5,145
1000000056,2018/11/7,84
1000000056,2019/1/4,61
1000000056,2019/3/6,73
1000000057,2018/3/1,113
1000000057,2018/5/3,64
1000000057,2018/7/2,90
1000000057,2018/9/5,106
1000000057,2018/11/7,121
1000000057,2019/1/4,129
1000000057,2019/3/6,88
1000000058,2018/3/1,89
1000000058,2018/5/3,141
1000000058,2018/7/2,76
1000000058,2018/9/5,122
1000000058,2018/11/7,76
1000000058,2019/1/4,118
1000000058,2019/3/7,63
1000000059,2018/3/1,98
1000000059,2018/5/3,71
1000000059,2018/7/2,52
1000000059,2018/9/5,130
1000000059,2018/10/5,80
1000000059,2018/11/7,107
1000000059,2019/1/4,90
1000000059,2019/3/7,112
1000000060,2018/3/1,121
1000000060,2018/5/3,111
1000000060,2018/7/2,81
1000000060,2018/9/5,54
1000000060,2018/11/7,127
1000000060,2019/1/4,104
1000000060,2019/3/8,132
1000000061,2018/3/1,58
1000000061,2018/5/3,90
1000000061,2018/7/2,139
1000000061,2018/9/5,62
1000000061,2018/11/7,98
1000000061,2019/1/4,106
1000000061,2019/3/8,130
1000000062,2018/3/1,92
1000000062,2018/5/3,73
1000000062,2018/7/2,147
1000000062,2018/9/5,52
1000000062,2018/11/7,144
1000000062,2019/1/4,141
1000000062,2019/3/4,124
1000000063,2018/3/1,100
1000000063,2018/5/30,71
1000000063,2018/7/2,72
1000000063,2018/9/5,57
1000000063,2018/11/2,112
1000000063,2019/1/4,139
1000000063,2019/3/4,77
1000000064,2018/3/1,75
1000000064,2018/5/3,78
1000000064,2018/7/2,73
1000000064,2018/9/5,73
1000000064,2018/11/7,119
1000000064,2019/3/4,102
1000000065,2018/3/1,148
1000000065,2018/5/3,75
1000000065,2018/7/2,123
1000000065,2018/9/5,100
1000000065,2018/11/7,89
1000000065,2019/1/4,65
1000000065,2019/3/4,134
1000000066,2018/3/1,141
1000000066,2018/5/3,126
1000000066,2018/7/2,117
1000000066,2018/9/5,96
1000000066,2018/11/7,83
1000000066,2019/3/4,136
1000000067,2018/3/1,89
1000000067,2018/5/3,121
1000000067,2018/7/2,131
1000000067,2018/9/5,117
1000000067,2018/11/7,108
1000000067,2019/1/4,58
1000000067,2019/3/4,65
1000000068,2018/3/1,85
1000000068,2018/5/3,133
1000000068,2018/7/2,117
1000000068,2018/9/5,63
1000000068,2018/11/7,142
1000000068,2019/1/4,99
1000000068,2019/3/4,72
1000000069,2018/3/1,74
1000000069,2018/7/2,127
1000000069,2018/9/5,96
1000000069,2018/11/7,79
1000000069,2019/1/4,68
1000000069,2019/3/4,104
1000000070,2018/3/1,57
1000000070,2018/5/3,57
1000000070,2018/7/2,78
1000000070,2018/9/5,82
1000000070,2018/11/7,107
1000000070,2019/1/4,89
1000000070,2019/2/8,70
1000000070,2019/3/4,127
1000000071,2018/3/1,69
1000000071,2018/5/3,56
1000000071,2018/6/24,123
1000000071,2018/9/5,102
1000000071,2018/11/7,113
1000000071,2019/1/4,146
1000000071,2019/3/4,133
1000000072,2018/3/1,125
1000000072,2018/5/3,142
1000000072,2018/7/2,59
1000000072,2018/9/5,142
1000000072,2018/11/7,136
1000000072,2019/1/4,124
1000000072,2019/3/4,70
1000000073,2018/3/1,123
1000000073,2018/11/7,60
1000000073,2019/1/4,126
1000000073,2019/3/4,95
1000000074,2018/3/1,93
1000000074,2018/5/3,125
1000000074,2018/7/2,115
1000000074,2018/9/5,69
1000000074,2018/11/7,77
1000000074,2019/1/4,100
1000000074,2019/3/4,57
1000000075,2018/3/1,111
1000000075,2018/5/3,85
1000000075,2018/7/2,84
1000000075,2018/9/5,58
1000000075,2018/11/7,108
1000000075,2019/1/4,83
1000000075,2019/3/4,100
1000000076,2018/3/1,102
1000000076,2018/5/3,100
1000000076,2018/7/2,135
1000000076,2018/9/5,87
1000000076,2018/11/7,111
1000000076,2019/1/4,127
1000000076,2019/3/4,63
1000000077,2018/3/1,82
1000000077,2018/5/3,125
1000000077,2018/7/2,141
1000000077,2018/9/5,135
1000000077,2018/11/7,65
1000000077,2019/1/4,106
1000000077,2019/3/4,66
1000000078,2018/3/1,127
1000000078,2018/9/5,124
1000000078,2018/11/7,79
1000000078,2019/1/4,130
1000000078,2019/3/4,132
1000000079,2018/3/1,134
1000000079,2018/5/3,115
1000000079,2018/7/2,119
1000000079,2018/11/7,86
1000000079,2019/1/4,56
1000000079,2019/3/4,87
1000000080,2018/3/1,53
1000000080,2018/5/3,119
1000000080,2018/7/25,50
1000000080,2018/9/5,82
1000000080,2018/11/7,78
1000000080,2019/1/14,120
1000000080,2019/3/4,101
1000000081,2018/3/1,124
1000000081,2018/5/3,86
1000000081,2018/7/2,113
1000000081,2018/9/5,55
1000000081,2018/11/7,62
1000000081,2019/1/4,91
1000000081,2019/3/4,149
1000000082,2018/7/2,67
1000000082,2018/9/5,126
1000000082,2018/11/7,145
1000000082,2019/1/4,104
1000000082,2019/3/4,66
1000000083,2018/3/1,143
1000000083,2018/5/3,113
1000000083,2018/7/2,145
1000000083,2018/9/5,56
1000000083,2018/11/7,136
1000000083,2019/1/4,88
1000000083,2019/3/4,67
1000000084,2018/3/1,678
1000000084,2018/5/3,92
1000000084,2018/7/2,96
1000000084,2018/9/5,69
1000000084,2018/11/7,93
1000000084,2019/1/4,114
1000000084,2019/3/4,147
1000000085,2018/3/1,78
1000000085,2018/5/3,56
1000000085,2018/7/2,128
1000000085,2018/9/5,72
1000000085,2018/11/7,58
1000000085,2019/1/4,101
1000000085,2019/3/4,76
1000000086,2018/3/1,107
1000000086,2018/5/3,83
1000000086,2018/7/2,60
1000000086,2018/9/5,75
1000000087,2018/3/1,144
1000000087,2018/5/3,131
1000000087,2018/7/2,76
1000000087,2018/9/5,80
1000000087,2018/11/7,78
1000000087,2019/1/4,87
1000000087,2019/3/4,55
1000000088,2018/3/1,67
1000000088,2018/5/3,92
1000000088,2018/7/2,73
1000000088,2018/9/5,115
1000000088,2018/11/7,70
1000000088,2019/1/4,52
1000000088,2019/3/4,69
1000000089,2018/3/1,55
1000000089,2018/5/3,94
1000000089,2018/7/2,75
1000000089,2018/9/5,107
1000000089,2018/11/7,57
1000000090,2018/5/3,89
1000000090,2018/7/2,133
1000000090,2018/9/5,141
1000000090,2018/11/7,98
1000000090,2019/1/4,97
1000000090,2019/3/4,54
1000000091,2018/3/1,116
1000000091,2018/5/3,89
1000000091,2018/7/2,128
1000000091,2018/9/5,99
1000000091,2018/11/7,116
1000000091,2019/1/4,81
1000000091,2019/3/4,132
1000000092,2018/3/1,118
1000000092,2018/5/3,58
1000000092,2018/7/2,78
1000000093,2018/3/1,120
1000000093,2018/5/3,52
1000000093,2018/7/2,124
1000000093,2018/9/5,69
1000000093,2018/11/7,98
1000000094,2018/5/3,97
1000000094,2018/7/2,97
1000000094,2018/9/5,134
1000000094,2018/11/7,67
1000000094,2019/1/4,95
1000000094,2019/3/4,136
1000000095,2018/3/1,103
1000000095,2018/5/3,164
1000000095,2018/7/2,143
1000000095,2018/9/5,97
1000000095,2018/11/7,171
1000000095,2019/1/4,148
1000000095,2019/3/4,173
1000000096,2018/3/1,159
1000000096,2018/5/3,148
1000000096,2018/7/2,117
1000000096,2018/9/5,125
1000000096,2018/11/7,127
1000000096,2019/1/4,94
1000000096,2019/3/4,146
1000000097,2018/3/1,94
1000000097,2018/7/2,106
1000000097,2018/8/5,106
1000000097,2018/11/7,98
1000000097,2019/1/4,115
1000000097,2019/3/4,130
1000000098,2018/3/1,132
1000000098,2018/5/3,99
1000000098,2018/7/2,91
1000000098,2018/9/5,164
1000000098,2018/11/7,144
1000000098,2019/1/4,105
1000000099,2018/3/1,95
1000000099,2018/5/3,169
1000000099,2018/7/2,144
1000000099,2018/9/5,156
1000000099,2018/11/7,174
1000000099,2019/3/4,115
1000000100,2018/3/1,161
1000000100,2018/5/3,122
1000000100,2018/7/2,105
1000000100,2018/9/5,151
1000000100,2018/11/7,111
1000000100,2019/1/4,146
1000000100,2019/3/4,147
